REG_ID,SEC_CUR_STAT,SEC_NAME,SEC_TITLE,Days,Time,Faculty,SeatsAvailableScheduledCapacity,CR_MIN,CR_MAX,Textbox8
91452,Active,ALS-100-01,Alternate Language Study,AR  ,,"Izmaylova, Anastasia ",44 /45 ,2.00000,,RECORD COUNT 702
90811,Active,AMS-130-01,Intro to American Studies,MWF  ,11:00 AM - 11:50 AM  ,"Andrews, Stephen R ",21 /25 ,4.00000,,RECORD COUNT 702
91492,Active,AMS-195-01,ST: Contemp US Stdnt Activism,T TH,10:00 AM - 11:50 AM 10:00 AM - 10:50 AM,"Scott, Kesho ",24 /25 ,2.00000,,RECORD COUNT 702
91456,Active,AMS-295-01,ST: Fdnts of US Popular Cultr,TTH  ,1:00 PM  - 2:20 PM  ,"Purcell, Sarah J ",9  /25 ,4.00000,,RECORD COUNT 702
91463,Active,AMS-295-02,ST: The Journey Within,TTH  ,1:00 PM  - 2:20 PM  ,"Scott, Kesho; Freeman, William",17 /22 ,4.00000,,RECORD COUNT 702
90812,Active,ANT-104-01,Anthropological Inquiries,MWF  ,8:00 AM  - 8:50 AM  ,"Kulstad, Tess ",21 /25 ,4.00000,,RECORD COUNT 702
90813,Active,ANT-104-02,Anthropological Inquiries,MWF  ,3:00 PM  - 3:50 PM  ,"Ng, Laura Wai ",22 /25 ,4.00000,,RECORD COUNT 702
90814,Active,ANT-104-03,Anthropological Inquiries,MWF  ,11:00 AM - 11:50 AM  ,"Holmstrom, Jane ",14 /25 ,4.00000,,RECORD COUNT 702
91868,Active,ANT-104-04,Anthropological Inquiries,TTH  ,2:30 PM  - 3:50 PM  ,"Kohl, Owen N ",21 /25 ,4.00000,,RECORD COUNT 702
91926,Active,ANT-195-01,ST: Living Well Cross-Cltrly,TTH  ,2:00 PM  - 3:50 PM  ,"Tapias, Maria; Lewis, Carolyn Herbst",13 /15 ,4.00000,,RECORD COUNT 702
90816,Active,ANT-231-01,"Disasters, Society and Culture",MWF  ,10:00 AM - 10:50 AM  ,"Kulstad, Tess ",15 /20 ,4.00000,,RECORD COUNT 702
90817,Active,ANT-265-01,Ethngrphy of Comm: Mthd & Thry,TTH  ,8:30 AM  - 9:50 AM  ,"Kohl, Owen N ",11 /20 ,4.00000,,RECORD COUNT 702
